中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,880 Mbps,112640 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,50 ms,476 Mbps,61030 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,10 ms,800 Mbps,102400 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,455 Mbps,58265 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,246 Mbps,31539 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,52 ms,496 Mbps,63590 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,21 ms,6 Mbps,803 kB/s
141.147.67.4,443,2a0b:21c0:1007:c9:0:fa32:bd8d:e16c,DE,Frankfurt,隧道,108 ms,168 Mbps,21606 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,98 ms,46 Mbps,6006 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,106 ms,624 Mbps,79872 kB/s
158.101.210.248,443,2606:f240:f00:dd8d:0:9e2d:5e0d:8589,US,Frankfurt,隧道,117 ms,121 Mbps,15564 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,51 ms,496 Mbps,63488 kB/s
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,58 ms,314 Mbps,40243 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,51 ms,351 Mbps,44953 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,15 ms,64 Mbps,8250 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,120 ms,311 Mbps,39833 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,23 ms,5 Mbps,651 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,75 ms,329 Mbps,42188 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,428 Mbps,54886 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,19 ms,23 Mbps,3061 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,54 ms,51 Mbps,6547 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,35 ms,52 Mbps,6777 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,314 Mbps,40243 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,216 ms,108 Mbps,13824 kB/s
144.24.53.45,443,144.24.53.45,US,Los Angeles,中转,60 ms,49 Mbps,6299 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,231 Mbps,29593 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,20 ms,45 Mbps,5789 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,107 ms,191 Mbps,24473 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,193 Mbps,24780 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,93 ms,577 Mbps,73932 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,55 ms,583 Mbps,74649 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,83 ms,332 Mbps,42598 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,113 ms,49 Mbps,6330 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,63 ms,441 Mbps,56524 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,112 ms,119 Mbps,15257 kB/s
140.238.120.120,443,2606:f240:f00:46c4:0:6c45:150b:5d53,US,Frankfurt,隧道,129 ms,196 Mbps,25190 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,116 ms,178 Mbps,22835 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,61 ms,536 Mbps,68710 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,71 ms,46 Mbps,5976 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,127 ms,194 Mbps,24883 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,105 ms,20 Mbps,2586 kB/s
141.144.203.177,443,2a0b:21c0:1007:1ca:0:5cbe:f488:ae28,DE,Frankfurt,隧道,187 ms,182 Mbps,23347 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,222 ms,2 Mbps,296 kB/s
158.101.219.252,443,2a0b:21c0:100a:1b0:0:7871:745:f91,DE,Frankfurt,隧道,131 ms,92 Mbps,11878 kB/s
168.138.184.172,443,168.138.184.172,SG,Singapore,中转,229 ms,66 Mbps,8461 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,116 ms,42 Mbps,5379 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,121 ms,167 Mbps,21401 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,202 ms,142 Mbps,18227 kB/s
130.162.164.119,443,2a0b:21c0:100a:1b5:0:f2e4:d9f7:511f,DE,Frankfurt,隧道,114 ms,96 Mbps,12288 kB/s
8.222.205.213,443,47.236.58.234,SG,Singapore,隧道,219 ms,60 Mbps,7740 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,82 ms,48 Mbps,6235 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,130 ms,48 Mbps,6148 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,131 ms,48 Mbps,6161 kB/s
152.67.96.55,443,152.67.96.55,AU,Sydney,中转,206 ms,34 Mbps,4456 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,195 ms,44 Mbps,5666 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,220 ms,75 Mbps,9668 kB/s
8.219.172.155,443,8.222.220.238,SG,Singapore,隧道,214 ms,70 Mbps,9085 kB/s
8.219.139.33,443,47.236.58.234,SG,Singapore,隧道,213 ms,69 Mbps,8916 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,195 ms,41 Mbps,5320 kB/s
144.22.252.124,443,144.22.252.124,BR,S
