中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,25 ms,764 Mbps,97894 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,25 ms,84 Mbps,10752 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,396 Mbps,50790 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,55 ms,539 Mbps,69017 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,443 Mbps,56729 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,632 Mbps,80998 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,62 ms,508 Mbps,65024 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:1b,US,Los Angeles,隧道,78 ms,63 Mbps,8121 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,23 ms,77 Mbps,9914 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,538 Mbps,68915 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,62 ms,344 Mbps,44134 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,61 ms,384 Mbps,49254 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,49 ms,474 Mbps,60723 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,130 Mbps,16691 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,90 ms,241 Mbps,30924 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,56 ms,365 Mbps,46796 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,49 ms,425 Mbps,54476 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,128 ms,248 Mbps,31744 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,53 ms,478 Mbps,61235 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,58 ms,43 Mbps,5588 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,383 Mbps,49049 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,56 ms,52 Mbps,6730 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,67 ms,388 Mbps,49766 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,94 ms,426 Mbps,54579 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,196 Mbps,25088 kB/s
168.138.149.17,443,168.138.149.17,BR,S
